"No.","Time","Source","Destination","Protocol","Length","Info"
"3910","130.465831","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4557 Ack=3765 Win=255 Len=35 TSval=121609191 TSecr=37"
"3939","131.464893","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4592 Ack=3794 Win=255 Len=35 TSval=121609291 TSecr=37"
"3967","132.460219","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4627 Ack=3823 Win=255 Len=35 TSval=121609390 TSecr=37"
"3994","133.454876","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4662 Ack=3852 Win=255 Len=35 TSval=121609490 TSecr=37"
"4024","134.466912","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4697 Ack=3881 Win=255 Len=35 TSval=121609591 TSecr=37"
"4056","135.467744","192.168.16.1","192.168.16.211","TCP","102","15002  >  1028 [PSH, ACK] Seq=4732 Ack=3910 Win=255 Len=36 TSval=121609691 TSecr=37"
"4090","136.634029","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4768 Ack=3937 Win=254 Len=35 TSval=121609808 TSecr=37"
"4114","137.467994","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4803 Ack=3966 Win=254 Len=35 TSval=121609891 TSecr=37"
"4150","138.645406","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4838 Ack=3995 Win=254 Len=35 TSval=121610009 TSecr=37"
"4176","139.462540","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4873 Ack=4024 Win=254 Len=35 TSval=121610090 TSecr=37"
"4205","140.452006","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4908 Ack=4053 Win=254 Len=35 TSval=121610189 TSecr=37"
"4231","141.465122","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4943 Ack=4082 Win=260 Len=35 TSval=121610291 TSecr=37"
"4265","142.627439","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=4978 Ack=4111 Win=260 Len=35 TSval=121610407 TSecr=37"
"4288","143.460488","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5013 Ack=4140 Win=259 Len=35 TSval=121610490 TSecr=37"
"4320","144.459672","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5048 Ack=4169 Win=259 Len=35 TSval=121610590 TSecr=37"
"4352","145.643502","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5083 Ack=4198 Win=259 Len=35 TSval=121610708 TSecr=37"
"4377","146.449846","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5118 Ack=4227 Win=259 Len=35 TSval=121610789 TSecr=37"
"4410","147.636636","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5153 Ack=4256 Win=259 Len=35 TSval=121610908 TSecr=37"
"4442","148.636080","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5188 Ack=4286 Win=259 Len=35 TSval=121611008 TSecr=37"
"4466","149.456740","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5223 Ack=4315 Win=259 Len=35 TSval=121611090 TSecr=37"
"4492","150.458271","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5258 Ack=4344 Win=259 Len=35 TSval=121611190 TSecr=37"
"4523","151.475819","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5293 Ack=4373 Win=259 Len=35 TSval=121611292 TSecr=37"
"4551","152.477404","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5328 Ack=4402 Win=258 Len=35 TSval=121611392 TSecr=37"
"4581","153.458450","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5363 Ack=4431 Win=258 Len=35 TSval=121611490 TSecr=37"
"4613","154.460854","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5398 Ack=4460 Win=258 Len=35 TSval=121611590 TSecr=37"
"4644","155.467100","192.168.16.1","192.168.16.211","TCP","101","15002  >  1028 [PSH, ACK] Seq=5433 Ack=4489 Win=258 Len=35 TSval=121611691 TSecr=37"
